CustomerID,Genre,Age,Annual_Income,Spending_Score
1,Male,19,EUR 15.00,39
2,Male,21,EUR 15.00,81
3,Female,20,EUR 16.00,6
4,Female,23,EUR 16.00,77
5,Female,31,EUR 17.00,40
6,Female,22,EUR 17.00,76
7,Female,35,EUR 18.00,6
8,Female,23,EUR 18.00,94
9,Male,64,EUR 19.00,3
10,Female,30,EUR 19.00,72
11,Male,67,EUR 19.00,14
12,Female,35,EUR 19.00,99
13,Female,58,EUR 20.00,15
14,Female,24,EUR 20.00,77
15,Male,37,EUR 20.00,13
16,Male,22,EUR 20.00,79
17,Female,35,EUR 21.00,35
18,Male,20,EUR 21.00,66
19,Male,52,EUR 23.00,29
20,Female,35,EUR 23.00,98
21,Male,35,EUR 24.00,35
22,Male,25,EUR 24.00,73
23,Female,46,EUR 25.00,5
24,Male,31,EUR 25.00,73
25,Female,54,EUR 28.00,14
26,Male,29,EUR 28.00,82
27,Female,45,EUR 28.00,32
28,Male,35,EUR 28.00,61
29,Female,40,EUR 29.00,31
30,Female,23,EUR 29.00,87
31,Male,60,EUR 30.00,4
32,Female,21,EUR 30.00,73
33,Male,53,EUR 33.00,4
34,Male,18,EUR 33.00,92
35,Female,49,EUR 33.00,14
36,Female,21,EUR 33.00,81
37,Female,42,EUR 34.00,17
38,Female,30,EUR 34.00,73
39,Female,36,EUR 37.00,26
40,Female,20,EUR 37.00,75
41,Female,65,EUR 38.00,35
42,Male,24,EUR 38.00,92
43,Male,48,EUR 39.00,36
44,Female,31,EUR 39.00,61
45,Female,49,EUR 39.00,28
46,Female,24,EUR 39.00,65
47,Female,50,EUR 40.00,55
48,Female,27,EUR 40.00,47
49,Female,29,EUR 40.00,42
50,Female,31,EUR 40.00,42
51,Female,49,EUR 42.00,52
52,Male,33,EUR 42.00,60
53,Female,31,EUR 43.00,54
54,Male,59,EUR 43.00,60
55,Female,50,EUR 43.00,45
56,Male,47,EUR 43.00,41
57,Female,51,EUR 44.00,50
58,Male,69,EUR 44.00,46
59,Female,27,EUR 46.00,51
60,Male,53,EUR 46.00,46
61,Male,70,EUR 46.00,56
62,Male,19,EUR 46.00,55
63,Female,67,EUR 47.00,52
64,Female,54,EUR 47.00,59
65,Male,63,EUR 48.00,51
66,Male,18,EUR 48.00,59
67,Female,43,EUR 48.00,50
68,Female,68,EUR 48.00,48
69,Male,19,EUR 48.00,59
70,Female,32,EUR 48.00,47
71,Male,70,EUR 49.00,55
72,Female,47,EUR 49.00,42
73,Female,60,EUR 50.00,49
74,Female,60,EUR 50.00,56
75,Male,59,EUR 54.00,47
76,Male,26,EUR 54.00,54
77,Female,45,EUR 54.00,53
78,Male,40,EUR 54.00,48
79,Female,23,EUR 54.00,52
80,Female,49,EUR 54.00,42
81,Male,57,EUR 54.00,51
82,Male,38,EUR 54.00,55
83,Male,67,EUR 54.00,41
84,Female,46,EUR 54.00,44
85,Female,21,EUR 54.00,57
86,Male,48,EUR 54.00,46
87,Female,55,EUR 57.00,58
88,Female,22,EUR 57.00,55
89,Female,34,EUR 58.00,60
90,Female,50,EUR 58.00,46
91,Female,68,EUR 59.00,55
92,Male,18,EUR 59.00,41
93,Male,48,EUR 60.00,49
94,Female,40,EUR 60.00,40
95,Female,32,EUR 60.00,42
96,Male,24,EUR 60.00,52
97,Female,47,EUR 60.00,47
98,Female,27,EUR 60.00,50
99,Male,48,EUR 61.00,42
100,Male,20,EUR 61.00,49
101,Female,23,EUR 62.00,41
102,Female,49,EUR 62.00,48
103,Male,67,EUR 62.00,59
104,Male,26,EUR 62.00,55
105,Male,49,EUR 62.00,56
106,Female,21,EUR 62.00,42
107,Female,66,EUR 63.00,50
108,Male,54,EUR 63.00,46
109,Male,68,EUR 63.00,43
110,Male,66,EUR 63.00,48
111,Male,65,EUR 63.00,52
112,Female,19,EUR 63.00,54
113,Female,38,EUR 64.00,42
114,Male,19,EUR 64.00,46
115,Female,18,EUR 65.00,48
116,Female,19,EUR 65.00,50
117,Female,63,EUR 65.00,43
118,Female,49,EUR 65.00,59
119,Female,51,EUR 67.00,43
120,Female,50,EUR 67.00,57
121,Male,27,EUR 67.00,56
122,Female,38,EUR 67.00,40
123,Female,40,EUR 69.00,58
124,Male,39,EUR 69.00,91
125,Female,23,EUR 70.00,29
126,Female,31,EUR 70.00,77
127,Male,43,EUR 71.00,35
128,Male,40,EUR 71.00,95
129,Male,59,EUR 71.00,11
130,Male,38,EUR 71.00,75
131,Male,47,EUR 71.00,9
132,Male,39,EUR 71.00,75
133,Female,25,EUR 72.00,34
134,Female,31,EUR 72.00,71
135,Male,20,EUR 73.00,5
136,Female,29,EUR 73.00,88
137,Female,44,EUR 73.00,7
138,Male,32,EUR 73.00,73
139,Male,19,EUR 74.00,10
140,Female,35,EUR 74.00,72
141,Female,57,EUR 75.00,5
142,Male,32,EUR 75.00,93
143,Female,28,EUR 76.00,40
144,Female,32,EUR 76.00,87
145,Male,25,EUR 77.00,12
146,Male,28,EUR 77.00,97
147,Male,48,EUR 77.00,36
148,Female,32,EUR 77.00,74
149,Female,34,EUR 78.00,22
150,Male,34,EUR 78.00,90
151,Male,43,EUR 78.00,17
152,Male,39,EUR 78.00,88
153,Female,44,EUR 78.00,20
154,Female,38,EUR 78.00,76
155,Female,47,EUR 78.00,16
156,Female,27,EUR 78.00,89
157,Male,37,EUR 78.00,1
158,Female,30,EUR 78.00,78
159,Male,34,EUR 78.00,1
160,Female,30,EUR 78.00,73
161,Female,56,EUR 79.00,35
162,Female,29,EUR 79.00,83
163,Male,19,EUR 81.00,5
164,Female,31,EUR 81.00,93
165,Male,50,EUR 85.00,26
166,Female,36,EUR 85.00,75
167,Male,42,EUR 86.00,20
168,Female,33,EUR 86.00,95
169,Female,36,EUR 87.00,27
170,Male,32,EUR 87.00,63
171,Male,40,EUR 87.00,13
172,Male,28,EUR 87.00,75
173,Male,36,EUR 87.00,10
174,Male,36,EUR 87.00,92
175,Female,52,EUR 88.00,13
176,Female,30,EUR 88.00,86
177,Male,58,EUR 88.00,15
178,Male,27,EUR 88.00,69
179,Male,59,EUR 93.00,14
180,Male,35,EUR 93.00,90
181,Female,37,EUR 97.00,32
182,Female,32,EUR 97.00,86
183,Male,46,EUR 98.00,15
184,Female,29,EUR 98.00,88
185,Female,41,EUR 99.00,39
186,Male,30,EUR 99.00,97
187,Female,54,EUR 101.00,24
188,Male,28,EUR 101.00,68
189,Female,41,EUR 103.00,17
190,Female,36,EUR 103.00,85
191,Female,34,EUR 103.00,23
192,Female,32,EUR 103.00,69
193,Male,33,EUR 113.00,8
194,Female,38,EUR 113.00,91
195,Female,47,EUR 120.00,16
196,Female,35,EUR 120.00,79
197,Female,45,EUR 126.00,28
198,Male,32,EUR 126.00,74
199,Male,32,EUR 137.00,18
200,Male,30,EUR 137.00,83
